episode: 104, reward: -129, avg_reward: -208, epsilon: 0.90
episode: 105, reward: -93, avg_reward: -208, epsilon: 0.89
episode: 106, reward: -373, avg_reward: -208, epsilon: 0.89
episode: 107, reward: -567, avg_reward: -212, epsilon: 0.89
episode: 108, reward: -188, avg_reward: -210, epsilon: 0.89
episode: 109, reward: -134, avg_reward: -208, epsilon: 0.89
episode: 110, reward: -143, avg_reward: -207, epsilon: 0.89
episode: 111, reward: -121, avg_reward: -205, epsilon: 0.89
episode: 112, reward: -260, avg_reward: -205, epsilon: 0.89
episode: 113, reward: -191, avg_reward: -205, epsilon: 0.89
episode: 114, reward: -222, avg_reward: -204, epsilon: 0.89
episode: 115, reward: -115, avg_reward: -203, epsilon: 0.88
episode: 116, reward: -70, avg_reward: -202, epsilon: 0.88
episode: 117, reward: -311, avg_reward: -204, epsilon: 0.88
episode: 118, reward: -183, avg_reward: -203, epsilon: 0.88
episode: 119, reward: -274, avg_reward: -203, epsilon: 0.88
episode: 120, reward: -69, avg_reward: -202, epsilon: 0.88
episode: 121, reward: -219, avg_reward: -202, epsilon: 0.88
episode: 122, reward: -80, avg_reward: -201, epsilon: 0.88
episode: 123, reward: -430, avg_reward: -204, epsilon: 0.88
episode: 124, reward: -84, avg_reward: -203, epsilon: 0.88
episode: 125, reward: -141, avg_reward: -202, epsilon: 0.87
episode: 126, reward: -208, avg_reward: -202, epsilon: 0.87
episode: 127, reward: -239, avg_reward: -203, epsilon: 0.87
episode: 128, reward: -224, avg_reward: -204, epsilon: 0.87
episode: 129, reward: -184, avg_reward: -204, epsilon: 0.87
episode: 130, reward: -294, avg_reward: -205, epsilon: 0.87
episode: 131, reward: -231, avg_reward: -205, epsilon: 0.87
episode: 132, reward: -269, avg_reward: -205, epsilon: 0.87
episode: 133, reward: -114, avg_reward: -205, epsilon: 0.87
episode: 134, reward: -144, avg_reward: -206, epsilon: 0.87
episode: 135, reward: -257, avg_reward: -206, epsilon: 0.86
episode: 136, reward: -301, avg_reward: -208, epsilon: 0.86
episode: 137, reward: -127, avg_reward: -206, epsilon: 0.86
episode: 138, reward: -160, avg_reward: -205, epsilon: 0.86
episode: 139, reward: -163, avg_reward: -205, epsilon: 0.86
episode: 140, reward: -124, avg_reward: -204, epsilon: 0.86
episode: 141, reward: -107, avg_reward: -203, epsilon: 0.86
episode: 142, reward: -162, avg_reward: -202, epsilon: 0.86
episode: 143, reward: -220, avg_reward: -202, epsilon: 0.86
episode: 144, reward: -136, avg_reward: -201, epsilon: 0.86
episode: 145, reward: -193, avg_reward: -199, epsilon: 0.85
episode: 146, reward: -152, avg_reward: -198, epsilon: 0.85
episode: 147, reward: -295, avg_reward: -200, epsilon: 0.85
episode: 148, reward: -447, avg_reward: -203, epsilon: 0.85
episode: 149, reward: -220, avg_reward: -204, epsilon: 0.85
episode: 150, reward: -133, avg_reward: -204, epsilon: 0.85
episode: 151, reward: -260, avg_reward: -204, epsilon: 0.85
episode: 152, reward: -248, avg_reward: -205, epsilon: 0.85
episode: 153, reward: -178, avg_reward: -206, epsilon: 0.85
episode: 154, reward: -316, avg_reward: -207, epsilon: 0.85
episode: 155, reward: -264, avg_reward: -208, epsilon: 0.84
episode: 156, reward: -76, avg_reward: -206, epsilon: 0.84
episode: 157, reward: -372, avg_reward: -208, epsilon: 0.84
episode: 158, reward: -203, avg_reward: -208, epsilon: 0.84
episode: 159, reward: -238, avg_reward: -209, epsilon: 0.84
episode: 160, reward: -168, avg_reward: -208, epsilon: 0.84
episode: 161, reward: -144, avg_reward: -208, epsilon: 0.84
episode: 162, reward: -110, avg_reward: -207, epsilon: 0.84
episode: 163, reward: -191, avg_reward: -207, epsilon: 0.84
episode: 164, reward: -179, avg_reward: -206, epsilon: 0.84
episode: 165, reward: -174, avg_reward: -204, epsilon: 0.83
episode: 166, reward: -81, avg_reward: -203, epsilon: 0.83
episode: 167, reward: -326, avg_reward: -203, epsilon: 0.83
episode: 168, reward: -190, avg_reward: -203, epsilon: 0.83
episode: 169, reward: -84, avg_reward: -203, epsilon: 0.83
episode: 170, reward: -402, avg_reward: -205, epsilon: 0.83
episode: 171, reward: -270, avg_reward: -206, epsilon: 0.83
episode: 172, reward: -262, avg_reward: -207, epsilon: 0.83
episode: 173, reward: -222, avg_reward: -207, epsilon: 0.83
episode: 174, reward: -142, avg_reward: -207, epsilon: 0.83
episode: 175, reward: -205, avg_reward: -205, epsilon: 0.82
episode: 176, reward: -155, avg_reward: -205, epsilon: 0.82
episode: 177, reward: -144, avg_reward: -205, epsilon: 0.82
episode: 178, reward: -168, avg_reward: -206, epsilon: 0.82
episode: 179, reward: -126, avg_reward: -204, epsilon: 0.82
episode: 180, reward: -362, avg_reward: -206, epsilon: 0.82
episode: 181, reward: -187, avg_reward: -207, epsilon: 0.82
episode: 182, reward: -90, avg_reward: -206, epsilon: 0.82
episode: 183, reward: -196, avg_reward: -205, epsilon: 0.82
episode: 184, reward: -131, avg_reward: -205, epsilon: 0.82
episode: 185, reward: -224, avg_reward: -206, epsilon: 0.81
episode: 186, reward: -69, avg_reward: -204, epsilon: 0.81
episode: 187, reward: -150, avg_reward: -203, epsilon: 0.81
episode: 188, reward: -395, avg_reward: -206, epsilon: 0.81
episode: 189, reward: -97, avg_reward: -206, epsilon: 0.81
episode: 190, reward: -143, avg_reward: -203, epsilon: 0.81
episode: 191, reward: -184, avg_reward: -204, epsilon: 0.81
episode: 192, reward: -141, avg_reward: -203, epsilon: 0.81
episode: 193, reward: -170, avg_reward: -204, epsilon: 0.81
episode: 194, reward: -104, avg_reward: -203, epsilon: 0.81
episode: 195, reward: -147, avg_reward: -203, epsilon: 0.80
episode: 196, reward: -117, avg_reward: -201, epsilon: 0.80
episode: 197, reward: -125, avg_reward: -200, epsilon: 0.80
episode: 198, reward: -176, avg_reward: -198, epsilon: 0.80
episode: 199, reward: -305, avg_reward: -198, epsilon: 0.80
episode: 200, reward: -154, avg_reward: -198, epsilon: 0.80
episode: 201, reward: -160, avg_reward: -197, epsilon: 0.80
episode: 202, reward: -159, avg_reward: -197, epsilon: 0.80
episode: 203, reward: -77, avg_reward: -195, epsilon: 0.80
episode: 204, reward: -96, avg_reward: -194, epsilon: 0.80
episode: 205, reward: -173, avg_reward: -195, epsilon: 0.79
episode: 206, reward: -173, avg_reward: -193, epsilon: 0.79
episode: 207, reward: -174, avg_reward: -189, epsilon: 0.79
episode: 208, reward: -113, avg_reward: -188, epsilon: 0.79
episode: 209, reward: -129, avg_reward: -188, epsilon: 0.79
episode: 210, reward: -392, avg_reward: -191, epsilon: 0.79
episode: 211, reward: -119, avg_reward: -191, epsilon: 0.79
episode: 212, reward: -109, avg_reward: -189, epsilon: 0.79
episode: 213, reward: -142, avg_reward: -189, epsilon: 0.79
episode: 214, reward: -125, avg_reward: -188, epsilon: 0.79
