episode: 104, reward: -291, avg_reward: -195, epsilon: 0.48
episode: 105, reward: -394, avg_reward: -195, epsilon: 0.47
episode: 106, reward: -357, avg_reward: -194, epsilon: 0.47
episode: 107, reward: -167, avg_reward: -194, epsilon: 0.46
episode: 108, reward: -309, avg_reward: -195, epsilon: 0.46
episode: 109, reward: -218, avg_reward: -196, epsilon: 0.45
episode: 110, reward: -328, avg_reward: -197, epsilon: 0.45
episode: 111, reward: -279, avg_reward: -199, epsilon: 0.44
episode: 112, reward: -417, avg_reward: -201, epsilon: 0.44
episode: 113, reward: -329, avg_reward: -203, epsilon: 0.43
episode: 114, reward: -136, avg_reward: -202, epsilon: 0.43
episode: 115, reward: -366, avg_reward: -202, epsilon: 0.42
episode: 116, reward: -161, avg_reward: -201, epsilon: 0.42
episode: 117, reward: -161, avg_reward: -201, epsilon: 0.41
episode: 118, reward: -339, avg_reward: -203, epsilon: 0.41
episode: 119, reward: -305, avg_reward: -205, epsilon: 0.40
episode: 120, reward: -390, avg_reward: -205, epsilon: 0.40
episode: 121, reward: -347, avg_reward: -207, epsilon: 0.39
episode: 122, reward: -324, avg_reward: -208, epsilon: 0.39
episode: 123, reward: -124, avg_reward: -206, epsilon: 0.38
episode: 124, reward: -296, avg_reward: -207, epsilon: 0.38
episode: 125, reward: -195, avg_reward: -207, epsilon: 0.37
episode: 126, reward: -114, avg_reward: -205, epsilon: 0.37
episode: 127, reward: -132, avg_reward: -205, epsilon: 0.36
episode: 128, reward: -127, avg_reward: -204, epsilon: 0.36
episode: 129, reward: -241, avg_reward: -203, epsilon: 0.35
episode: 130, reward: -267, avg_reward: -203, epsilon: 0.35
episode: 131, reward: -633, avg_reward: -208, epsilon: 0.34
episode: 132, reward: -452, avg_reward: -211, epsilon: 0.34
episode: 133, reward: -146, avg_reward: -210, epsilon: 0.33
episode: 134, reward: -152, avg_reward: -211, epsilon: 0.33
episode: 135, reward: -240, avg_reward: -212, epsilon: 0.32
episode: 136, reward: 124, avg_reward: -208, epsilon: 0.32
episode: 137, reward: -313, avg_reward: -210, epsilon: 0.31
episode: 138, reward: -379, avg_reward: -210, epsilon: 0.31
episode: 139, reward: -55, avg_reward: -210, epsilon: 0.30
episode: 140, reward: -518, avg_reward: -216, epsilon: 0.30
episode: 141, reward: -100, avg_reward: -215, epsilon: 0.29
episode: 142, reward: -255, avg_reward: -215, epsilon: 0.29
episode: 143, reward: -139, avg_reward: -214, epsilon: 0.28
episode: 144, reward: -180, avg_reward: -214, epsilon: 0.28
episode: 145, reward: -321, avg_reward: -216, epsilon: 0.27
episode: 146, reward: -202, avg_reward: -217, epsilon: 0.27
episode: 147, reward: -269, avg_reward: -217, epsilon: 0.26
episode: 148, reward: -271, avg_reward: -218, epsilon: 0.26
episode: 149, reward: -471, avg_reward: -222, epsilon: 0.25
episode: 150, reward: -275, avg_reward: -223, epsilon: 0.25
episode: 151, reward: -312, avg_reward: -225, epsilon: 0.24
episode: 152, reward: -583, avg_reward: -228, epsilon: 0.24
episode: 153, reward: -289, avg_reward: -230, epsilon: 0.23
episode: 154, reward: -249, avg_reward: -229, epsilon: 0.23
episode: 155, reward: -117, avg_reward: -229, epsilon: 0.22
episode: 156, reward: -279, avg_reward: -230, epsilon: 0.22
episode: 157, reward: -289, avg_reward: -232, epsilon: 0.21
episode: 158, reward: -368, avg_reward: -233, epsilon: 0.21
episode: 159, reward: -112, avg_reward: -233, epsilon: 0.20
episode: 160, reward: -41, avg_reward: -231, epsilon: 0.20
episode: 161, reward: -179, avg_reward: -232, epsilon: 0.19
episode: 162, reward: -371, avg_reward: -235, epsilon: 0.19
episode: 163, reward: -203, avg_reward: -235, epsilon: 0.18
episode: 164, reward: -72, avg_reward: -235, epsilon: 0.18
episode: 165, reward: -230, avg_reward: -237, epsilon: 0.17
episode: 166, reward: -237, avg_reward: -238, epsilon: 0.17
episode: 167, reward: -437, avg_reward: -240, epsilon: 0.16
episode: 168, reward: -186, avg_reward: -239, epsilon: 0.16
episode: 169, reward: -610, avg_reward: -242, epsilon: 0.15
episode: 170, reward: -111, avg_reward: -241, epsilon: 0.15
episode: 171, reward: -560, avg_reward: -245, epsilon: 0.14
episode: 172, reward: -269, avg_reward: -245, epsilon: 0.14
episode: 173, reward: -88, avg_reward: -245, epsilon: 0.13
episode: 174, reward: -218, avg_reward: -246, epsilon: 0.13
episode: 175, reward: -222, avg_reward: -245, epsilon: 0.12
episode: 176, reward: -224, avg_reward: -246, epsilon: 0.12
episode: 177, reward: -84, avg_reward: -245, epsilon: 0.11
episode: 178, reward: -155, avg_reward: -245, epsilon: 0.11
episode: 179, reward: -296, avg_reward: -244, epsilon: 0.10
episode: 180, reward: -107, avg_reward: -241, epsilon: 0.10
episode: 181, reward: -222, avg_reward: -242, epsilon: 0.09
episode: 182, reward: -279, avg_reward: -244, epsilon: 0.09
episode: 183, reward: -406, avg_reward: -245, epsilon: 0.08
episode: 184, reward: -119, avg_reward: -245, epsilon: 0.08
episode: 185, reward: 67, avg_reward: -243, epsilon: 0.07
episode: 186, reward: 126, avg_reward: -241, epsilon: 0.07
episode: 187, reward: -184, avg_reward: -241, epsilon: 0.06
episode: 188, reward: -487, avg_reward: -245, epsilon: 0.06
episode: 189, reward: -429, avg_reward: -245, epsilon: 0.05
episode: 190, reward: -178, avg_reward: -245, epsilon: 0.05
episode: 191, reward: -54, avg_reward: -242, epsilon: 0.05
episode: 192, reward: 0, avg_reward: -238, epsilon: 0.05
episode: 193, reward: -347, avg_reward: -240, epsilon: 0.05
episode: 194, reward: -134, avg_reward: -240, epsilon: 0.05
episode: 195, reward: -71, avg_reward: -240, epsilon: 0.05
episode: 196, reward: -104, avg_reward: -238, epsilon: 0.05
episode: 197, reward: -156, avg_reward: -238, epsilon: 0.05
episode: 198, reward: -123, avg_reward: -238, epsilon: 0.05
episode: 199, reward: -171, avg_reward: -236, epsilon: 0.05
episode: 200, reward: -306, avg_reward: -238, epsilon: 0.05
episode: 201, reward: -184, avg_reward: -239, epsilon: 0.05
episode: 202, reward: -195, avg_reward: -240, epsilon: 0.05
episode: 203, reward: -354, avg_reward: -242, epsilon: 0.05
episode: 204, reward: -183, avg_reward: -241, epsilon: 0.05
episode: 205, reward: -412, avg_reward: -241, epsilon: 0.05
episode: 206, reward: -163, avg_reward: -239, epsilon: 0.05
episode: 207, reward: -104, avg_reward: -238, epsilon: 0.05
episode: 208, reward: 74, avg_reward: -234, epsilon: 0.05
episode: 209, reward: -288, avg_reward: -235, epsilon: 0.05
episode: 210, reward: -268, avg_reward: -234, epsilon: 0.05
