episode: 104, reward: -141, avg_reward: -213, epsilon: 0.95
episode: 105, reward: -289, avg_reward: -214, epsilon: 0.95
episode: 106, reward: -212, avg_reward: -213, epsilon: 0.95
episode: 107, reward: -167, avg_reward: -211, epsilon: 0.95
episode: 108, reward: -223, avg_reward: -208, epsilon: 0.95
episode: 109, reward: -507, avg_reward: -211, epsilon: 0.95
episode: 110, reward: -300, avg_reward: -212, epsilon: 0.95
episode: 111, reward: -117, avg_reward: -209, epsilon: 0.94
episode: 112, reward: -273, avg_reward: -210, epsilon: 0.94
episode: 113, reward: -175, avg_reward: -208, epsilon: 0.94
episode: 114, reward: -210, avg_reward: -206, epsilon: 0.94
episode: 115, reward: -214, avg_reward: -204, epsilon: 0.94
episode: 116, reward: -270, avg_reward: -206, epsilon: 0.94
episode: 117, reward: -161, avg_reward: -205, epsilon: 0.94
episode: 118, reward: -332, avg_reward: -204, epsilon: 0.94
episode: 119, reward: -113, avg_reward: -204, epsilon: 0.94
episode: 120, reward: -244, avg_reward: -204, epsilon: 0.94
episode: 121, reward: -142, avg_reward: -204, epsilon: 0.94
episode: 122, reward: -308, avg_reward: -205, epsilon: 0.94
episode: 123, reward: -265, avg_reward: -205, epsilon: 0.94
episode: 124, reward: -139, avg_reward: -205, epsilon: 0.94
episode: 125, reward: -163, avg_reward: -203, epsilon: 0.94
episode: 126, reward: -161, avg_reward: -203, epsilon: 0.94
episode: 127, reward: -163, avg_reward: -204, epsilon: 0.94
episode: 128, reward: -131, avg_reward: -205, epsilon: 0.94
episode: 129, reward: -137, avg_reward: -203, epsilon: 0.94
episode: 130, reward: -51, avg_reward: -203, epsilon: 0.94
episode: 131, reward: -360, avg_reward: -204, epsilon: 0.93
episode: 132, reward: -142, avg_reward: -203, epsilon: 0.93
episode: 133, reward: -166, avg_reward: -203, epsilon: 0.93
episode: 134, reward: -167, avg_reward: -204, epsilon: 0.93
episode: 135, reward: -300, avg_reward: -206, epsilon: 0.93
episode: 136, reward: -152, avg_reward: -206, epsilon: 0.93
episode: 137, reward: -103, avg_reward: -205, epsilon: 0.93
episode: 138, reward: -160, avg_reward: -203, epsilon: 0.93
episode: 139, reward: -142, avg_reward: -202, epsilon: 0.93
episode: 140, reward: -253, avg_reward: -204, epsilon: 0.93
